Week,Oil,Gas
8/7/2020,427,781
7/31/2020,425,811
7/24/2020,437,833
7/17/2020,444,861
7/10/2020,445,878
7/2/2020,443,891
6/26/2020,440,893
6/19/2020,456,905
6/12/2020,456,926
6/5/2020,466,927
5/29/2020,474,939
5/22/2020,489,941
5/15/2020,502,949
5/8/2020,505,959
5/1/2020,506,973
4/24/2020,514,956
4/17/2020,513,958
4/9/2020,528,953
4/3/2020,544,951
3/27/2020,538,969
3/20/2020,555,967
3/13/2020,545,947
3/6/2020,561,954
2/28/2020,574,953
2/21/2020,583,958
2/14/2020,587,960
2/7/2020,592,964
1/31/2020,580,979
1/24/2020,591,982
1/17/2020,603,972
1/10/2020,611,983
1/3/2020,636,992
12/27/2019,655,985
12/20/2019,672,973
12/13/2019,665,977
12/6/2019,663,980
11/27/2019,670,982
11/22/2019,673,967
11/15/2019,687,962
11/8/2019,690,971
11/1/2019,695,966
10/25/2019,695,965
10/18/2019,696,967
10/11/2019,718,955
10/4/2019,720,955
9/27/2019,731,936
9/20/2019,724,953
9/13/2019,742,961
9/6/2019,763,948
8/30/2019,756,941
8/23/2019,771,931
8/16/2019,765,919
8/9/2019,777,914
8/2/2019,789,902
7/26/2019,798,906
7/19/2019,809,913
7/12/2019,818,911
7/3/2019,805,906
6/28/2019,798,905
6/21/2019,783,906
6/14/2019,801,899
6/7/2019,827,882
5/31/2019,839,875
5/24/2019,851,880
5/17/2019,877,891
5/10/2019,886,889
5/3/2019,880,885
4/26/2019,913,878
4/18/2019,926,882
4/12/2019,934,890
4/5/2019,947,874
3/29/2019,954,866
3/22/2019,958,881
3/15/2019,959,887
3/8/2019,969,879
3/1/2019,984,870
2/22/2019,"1,003",873
2/15/2019,"1,006",874
2/8/2019,"1,007",873
2/1/2019,"1,013",885
1/25/2019,"1,021",889
1/18/2019,"1,025",877
1/11/2019,"1,031",883
1/4/2019,"1,055",896
12/28/2018,"1,066",900
12/21/2018,"1,069",898
12/14/2018,"1,064",895
12/7/2018,"1,057",892
11/30/2018,"1,062",912
11/21/2018,"1,071",912
11/16/2018,"1,060",923
11/9/2018,"1,070",935
11/2/2018,"1,080",936
10/26/2018,"1,079",927
10/19/2018,"1,078",934
10/12/2018,"1,112",907
10/5/2018,"1,133",877
9/28/2018,"1,125",871
9/21/2018,"1,130",865
9/14/2018,"1,132",856
9/7/2018,"1,161",820
8/31/2018,"1,196",818
8/24/2018,"1,201",802
8/17/2018,"1,193",809
8/10/2018,"1,191",811
8/3/2018,"1,191",791
7/27/2018,"1,223",780
7/20/2018,"1,225",777
7/13/2018,"1,245",745
7/6/2018,"1,263",720
6/29/2018,"1,272",716
6/22/2018,"1,265",710
6/15/2018,"1,293",691
6/8/2018,"1,296",670
6/1/2018,"1,317",663
5/25/2018,"1,313",652
5/18/2018,"1,318",658
5/11/2018,"1,329",647
5/4/2018,"1,322",624
4/27/2018,"1,337",631
4/20/2018,"1,328",613
4/13/2018,"1,355",606
4/6/2018,"1,372",598
3/29/2018,"1,382",600
3/23/2018,"1,383",594
3/16/2018,"1,386",588
3/9/2018,"1,414",565
3/2/2018,"1,405",562
2/23/2018,"1,421",541
2/16/2018,"1,421",534
2/9/2018,"1,419",542
2/2/2018,"1,427",522
1/26/2018,"1,414",518
1/19/2018,"1,416",505
1/12/2018,"1,429",498
1/5/2018,"1,432",495
12/29/2017,"1,425",484
12/22/2017,"1,408",486
12/15/2017,"1,419",473
12/8/2017,"1,409",452
12/1/2017,"1,413",448
11/22/2017,"1,402",454
11/17/2017,"1,410",435
11/10/2017,"1,398",437
11/3/2017,"1,411",422
10/27/2017,"1,410",427
10/20/2017,"1,408",416
10/13/2017,"1,373",424
10/6/2017,"1,389",413
9/29/2017,"1,390",417
9/22/2017,"1,388",428
9/15/2017,"1,386",424
9/8/2017,"1,382",417
9/1/2017,"1,381",416
8/25/2017,"1,340",429
8/18/2017,"1,327",431
8/11/2017,"1,318",439
8/4/2017,"1,323",434
7/28/2017,"1,316",429
7/21/2017,"1,315",434
7/14/2017,"1,332",428
7/7/2017,"1,330",425
6/30/2017,"1,337",421
6/23/2017,"1,329",428
6/16/2017,"1,333",420
6/9/2017,"1,341",407
6/2/2017,"1,341",431
5/26/2017,"1,324",418
5/19/2017,"1,354",389
5/12/2017,"1,357",375
5/5/2017,"1,387",377
4/28/2017,"1,371",379
4/21/2017,"1,381",366
4/13/2017,"1,403",354
4/7/2017,"1,412",350
3/31/2017,"1,408",354
3/24/2017,"1,402",354
3/17/2017,"1,410",354
3/10/2017,"1,406",354
3/3/2017,"1,413",353
2/24/2017,"1,405",349
2/17/2017,"1,390",353
2/10/2017,"1,395",355
2/3/2017,"1,391",362
1/27/2017,"1,395",369
1/20/2017,"1,401",369
1/13/2017,"1,388",388
1/6/2017,"1,385",386
12/30/2016,"1,397",388
12/23/2016,"1,382",387
12/16/2016,"1,388",380
12/9/2016,"1,365",394
12/2/2016,"1,361",401
11/23/2016,"1,369",386
11/18/2016,"1,362",376
11/11/2016,"1,372",378
11/4/2016,"1,367",369
10/28/2016,"1,361",372
10/21/2016,"1,357",376
10/14/2016,"1,376",360
10/7/2016,"1,383",365
9/30/2016,"1,385",370
9/23/2016,"1,387",369
9/16/2016,"1,391",367
9/9/2016,"1,397",375
9/2/2016,"1,411",369
8/26/2016,"1,395",372
8/19/2016,"1,382",374
8/12/2016,"1,378",372
8/5/2016,"1,393",357
7/29/2016,"1,408",365
7/22/2016,"1,416",356
7/15/2016,"1,422",358
7/8/2016,"1,416",351
7/1/2016,"1,423",337
6/24/2016,"1,425",342
6/17/2016,"1,430",335
6/10/2016,"1,443",345
6/3/2016,"1,461",344
5/27/2016,"1,473",326
5/20/2016,"1,487",318
5/13/2016,"1,498",316
5/6/2016,"1,517",310
4/29/2016,"1,510",316
4/22/2016,"1,534",323
4/15/2016,"1,527",323
4/8/2016,"1,528",323
4/1/2016,"1,531",326
3/24/2016,"1,528",325
3/18/2016,"1,536",326
3/11/2016,"1,536",320
3/4/2016,"1,542",310
2/26/2016,"1,545",311
2/19/2016,"1,558",314
2/12/2016,"1,562",311
2/5/2016,"1,563",311
1/29/2016,"1,554",315
1/22/2016,"1,562",318
1/15/2016,"1,573",313
1/8/2016,"1,588",316
12/31/2015,"1,589",321
12/23/2015,"1,564",330
12/18/2015,"1,575",338
12/11/2015,"1,584",340
12/4/2015,"1,592",338
11/25/2015,"1,601",329
11/20/2015,"1,592",338
11/13/2015,"1,591",330
11/6/2015,"1,609",320
10/30/2015,"1,590",328
10/23/2015,"1,595",332
10/16/2015,"1,582",346
10/9/2015,"1,568",356
10/2/2015,"1,578",350
9/25/2015,"1,574",355
9/18/2015,"1,572",344
9/11/2015,"1,575",344
9/4/2015,"1,546",346
8/28/2015,"1,536",338
8/21/2015,"1,499",340
8/14/2015,"1,482",328
8/7/2015,"1,421",329
7/31/2015,"1,366",310
7/24/2015,"1,317",316
7/17/2015,"1,223",319
7/10/2015,"1,140",314
7/2/2015,"1,056",300
6/26/2015,"1,019",289
6/19/2015,986,280
6/12/2015,922,268
6/5/2015,866,257
5/29/2015,825,242
5/22/2015,813,233
5/15/2015,802,222
5/8/2015,760,225
5/1/2015,734,217
4/24/2015,703,225
4/17/2015,679,222
4/10/2015,668,221
4/2/2015,660,223
3/27/2015,659,222
3/20/2015,646,225
3/13/2015,642,222
3/6/2015,635,221
2/27/2015,631,223
2/20/2015,628,228
2/13/2015,640,219
2/6/2015,645,217
1/30/2015,638,218
1/23/2015,659,216
1/16/2015,664,209
1/9/2015,670,213
1/2/2015,672,211
12/26/2014,674,211
12/19/2014,675,202
12/12/2014,662,202
12/5/2014,652,196
11/26/2014,644,198
11/21/2014,641,197
11/14/2014,614,195
11/7/2014,605,189
10/31/2014,595,192
10/24/2014,594,193
10/17/2014,578,197
10/10/2014,572,199
10/3/2014,574,193
9/26/2014,564,193
9/19/2014,555,189
9/12/2014,545,192
9/5/2014,524,185
8/29/2014,541,168
8/22/2014,538,162
8/15/2014,536,162
8/8/2014,516,148
8/1/2014,515,135
7/25/2014,510,127
7/18/2014,498,121
7/11/2014,467,104
7/3/2014,439,102
6/27/2014,413,101
6/20/2014,400,102
6/13/2014,392,97
6/6/2014,386,94
5/30/2014,387,89
5/23/2014,372,92
5/16/2014,362,88
5/9/2014,354,89
5/2/2014,351,89
4/25/2014,343,88
4/17/2014,332,87
4/11/2014,328,86
4/4/2014,318,87
3/28/2014,318,85
3/21/2014,316,87
3/14/2014,325,82
3/7/2014,328,85
2/28/2014,337,86
2/21/2014,330,90
2/14/2014,341,89
2/7/2014,351,88
1/31/2014,357,89
1/24/2014,371,88
1/17/2014,374,86
1/10/2014,381,81
1/3/2014,396,83
12/27/2013,406,83
12/20/2013,406,81
12/13/2013,407,88
12/6/2013,414,92
11/27/2013,416,89
11/22/2013,418,92
11/15/2013,425,96
11/8/2013,428,94
11/1/2013,432,105
10/25/2013,443,108
10/18/2013,441,114
10/11/2013,450,117
10/4/2013,452,115
9/27/2013,471,116
9/20/2013,474,118
9/13/2013,477,119
9/6/2013,498,125
8/30/2013,510,126
8/23/2013,523,129
8/16/2013,525,132
8/9/2013,529,135
8/2/2013,522,136
7/26/2013,551,142
7/19/2013,566,145
7/12/2013,583,145
7/3/2013,591,149
6/28/2013,597,153
6/21/2013,602,151
6/14/2013,609,146
6/7/2013,617,151
5/31/2013,631,157
5/24/2013,652,155
5/17/2013,662,160
5/10/2013,672,165
5/3/2013,683,162
4/26/2013,688,167
4/19/2013,697,171
4/12/2013,703,173
4/5/2013,712,172
3/28/2013,720,180
3/22/2013,722,185
3/15/2013,733,182
3/8/2013,741,185
3/1/2013,747,186
2/22/2013,758,183
2/15/2013,756,184
2/8/2013,763,189
2/1/2013,765,187
1/25/2013,764,186
1/18/2013,766,192
1/11/2013,765,189
1/4/2013,768,181
12/28/2012,763,182
12/21/2012,759,180
12/14/2012,759,183
12/7/2012,756,187
11/30/2012,749,186
11/21/2012,744,190
11/16/2012,750,189
11/9/2012,748,187
11/2/2012,743,185
10/26/2012,736,177
10/19/2012,737,172
10/12/2012,729,169
10/5/2012,738,169
9/28/2012,738,177
9/21/2012,747,176
9/14/2012,749,180
9/7/2012,751,180
8/31/2012,747,183
8/24/2012,747,184
8/17/2012,747,182
8/10/2012,742,182
8/3/2012,752,187
7/27/2012,747,189
7/20/2012,759,188
7/13/2012,765,181
7/6/2012,791,184
6/29/2012,798,177
6/22/2012,799,179
6/15/2012,800,181
6/8/2012,796,188
6/1/2012,800,189
5/25/2012,804,190
5/18/2012,797,194
5/11/2012,808,194
5/4/2012,815,192
4/27/2012,820,192
4/20/2012,825,195
4/13/2012,834,196
4/5/2012,844,199
3/30/2012,844,200
3/23/2012,859,198
3/16/2012,861,197
3/9/2012,862,198
3/2/2012,863,194
2/24/2012,862,188
2/17/2012,858,187
2/10/2012,863,187
2/3/2012,863,189
1/27/2012,858,187
1/20/2012,861,186
1/13/2012,859,183
1/6/2012,869,186
12/29/2011,869,186
12/22/2011,860,182
12/16/2011,862,184
12/9/2011,860,186
12/2/2011,867,186
11/25/2011,866,186
11/18/2011,863,189
11/11/2011,861,189
11/4/2011,869,193
10/28/2011,873,194
10/21/2011,875,193
10/14/2011,874,193
10/7/2011,886,195
9/30/2011,888,194
9/23/2011,885,194
9/16/2011,887,189
9/9/2011,877,198
9/2/2011,873,198
8/26/2011,883,197
8/19/2011,885,198
8/12/2011,877,198
8/5/2011,873,202
7/29/2011,852,198
7/22/2011,862,197
7/15/2011,847,198
7/8/2011,854,195
7/1/2011,857,194
6/24/2011,853,194
6/17/2011,843,195
6/10/2011,834,193
6/3/2011,833,193
5/27/2011,824,192
5/20/2011,816,190
5/13/2011,831,194
5/6/2011,833,189
4/29/2011,825,187
4/21/2011,805,186
4/15/2011,807,183
4/8/2011,805,183
4/1/2011,802,185
3/25/2011,797,186
3/18/2011,800,184
3/11/2011,789,186
3/4/2011,788,181
2/25/2011,789,177
2/18/2011,793,173
2/11/2011,788,174
2/4/2011,784,172
1/28/2011,779,174
1/21/2011,776,169
1/14/2011,770,171
1/7/2011,764,169
12/30/2010,770,165
12/22/2010,754,162
12/17/2010,742,162
12/10/2010,738,160
12/3/2010,733,153
11/24/2010,719,148
11/19/2010,713,146
11/12/2010,710,144
11/5/2010,712,143
10/29/2010,713,137
10/22/2010,696,133
10/15/2010,691,130
10/8/2010,684,130
10/1/2010,674,129
9/24/2010,671,129
9/17/2010,668,131
9/10/2010,663,133
9/3/2010,667,129
8/27/2010,685,125
8/20/2010,677,125
8/13/2010,670,123
8/6/2010,659,119
7/30/2010,673,120
7/23/2010,676,115
7/16/2010,675,112
7/9/2010,676,111
7/2/2010,678,110
6/25/2010,679,110
6/18/2010,678,110
6/11/2010,682,109
6/4/2010,683,107
5/28/2010,664,106
5/21/2010,624,102
5/14/2010,562,100
5/7/2010,504,96
4/30/2010,438,89
4/23/2010,378,85
4/16/2010,325,81
4/9/2010,292,80
4/1/2010,258,79
3/26/2010,237,79
3/19/2010,222,77
3/12/2010,206,76
3/5/2010,199,78
2/26/2010,189,75
2/19/2010,188,75
2/12/2010,185,76
2/5/2010,181,75
1/29/2010,180,71
1/22/2010,181,68
1/15/2010,180,69
1/8/2010,176,69
