Week,Price
8/7/2020,2.13
7/31/2020,1.82
7/24/2020,1.72
7/17/2020,1.77
7/10/2020,1.78
7/3/2020,1.71
6/26/2020,1.57
6/19/2020,1.52
6/12/2020,1.7
6/5/2020,1.7
5/29/2020,1.76
5/22/2020,1.78
5/15/2020,1.63
5/8/2020,1.84
5/1/2020,1.71
4/24/2020,1.85
4/17/2020,1.72
4/10/2020,1.77
4/3/2020,1.63
3/27/2020,1.74
3/20/2020,1.82
3/13/2020,1.86
3/6/2020,1.8
2/28/2020,1.88
2/21/2020,2
2/14/2020,1.9
2/7/2020,1.89
1/31/2020,1.95
1/24/2020,1.93
1/17/2020,2.06
1/10/2020,2.09
1/3/2020,2.05
12/27/2019,2.03
12/20/2019,2.28
12/13/2019,2.24
12/6/2019,2.38
11/29/2019,2.49
11/22/2019,2.58
11/15/2019,2.73
11/8/2019,2.82
11/1/2019,2.62
10/25/2019,2.25
10/18/2019,2.25
10/11/2019,2.26
10/4/2019,2.33
9/27/2019,2.52
9/20/2019,2.63
9/13/2019,2.64
9/6/2019,2.46
8/30/2019,2.28
8/23/2019,2.27
8/16/2019,2.21
8/9/2019,2.11
8/2/2019,2.24
7/26/2019,2.3
7/19/2019,2.44
7/12/2019,2.47
7/5/2019,2.31
6/28/2019,2.34
6/21/2019,2.4
6/14/2019,2.41
6/7/2019,2.45
5/31/2019,2.66
5/24/2019,2.66
5/17/2019,2.67
5/10/2019,2.6
5/3/2019,2.59
4/26/2019,2.56
4/19/2019,2.62
4/12/2019,2.72
4/5/2019,2.7
3/29/2019,2.71
3/22/2019,2.86
3/15/2019,2.89
3/8/2019,3.28
3/1/2019,2.91
2/22/2019,2.71
2/15/2019,2.65
2/8/2019,2.59
2/1/2019,2.9
1/25/2019,3.19
1/18/2019,3.5
1/11/2019,2.89
1/4/2019,2.92
12/28/2018,3.26
12/21/2018,3.73
12/14/2018,4.38
12/7/2018,4.49
11/30/2018,4.43
11/23/2018,4.67
11/16/2018,4.23
11/9/2018,3.58
11/2/2018,3.28
10/26/2018,3.32
10/19/2018,3.26
10/12/2018,3.3
10/5/2018,3.23
9/28/2018,3.06
9/21/2018,3.03
9/14/2018,2.93
9/7/2018,2.94
8/31/2018,2.97
8/24/2018,3.01
8/17/2018,3
8/10/2018,2.96
8/3/2018,2.8
7/27/2018,2.79
7/20/2018,2.78
7/13/2018,2.89
7/6/2018,2.91
6/29/2018,2.98
6/22/2018,2.99
6/15/2018,2.99
6/8/2018,2.92
6/1/2018,2.88
5/25/2018,2.83
5/18/2018,2.8
5/11/2018,2.76
5/4/2018,2.75
4/27/2018,2.8
4/20/2018,2.83
4/13/2018,2.78
4/6/2018,2.79
3/30/2018,2.67
3/23/2018,2.66
3/16/2018,2.71
3/9/2018,2.74
3/2/2018,2.64
2/23/2018,2.62
2/16/2018,2.54
2/9/2018,2.75
2/2/2018,3.3
1/26/2018,3.43
1/19/2018,4.12
1/12/2018,3.24
1/5/2018,5.71
12/29/2017,3.03
12/22/2017,2.69
12/15/2017,2.77
12/8/2017,2.84
12/1/2017,2.94
11/24/2017,3.05
11/17/2017,3.1
11/10/2017,3.12
11/3/2017,2.78
10/27/2017,2.91
10/20/2017,2.84
10/13/2017,2.92
10/6/2017,2.84
9/29/2017,2.96
9/22/2017,3.09
9/15/2017,2.96
9/8/2017,2.91
9/1/2017,2.93
8/25/2017,2.97
8/18/2017,2.95
8/11/2017,2.85
8/4/2017,2.8
7/28/2017,2.96
7/21/2017,3.09
7/14/2017,2.96
7/7/2017,2.95
6/30/2017,3.01
6/23/2017,2.89
6/16/2017,3.03
6/9/2017,2.98
6/2/2017,3.03
5/26/2017,3.18
5/19/2017,3.21
5/12/2017,3.12
5/5/2017,3.14
4/28/2017,3.09
4/21/2017,3.1
4/14/2017,3.05
4/7/2017,3.18
3/31/2017,3.03
3/24/2017,2.99
3/17/2017,2.96
3/10/2017,2.75
3/3/2017,2.52
2/24/2017,2.62
2/17/2017,2.87
2/10/2017,3.04
2/3/2017,3.12
1/27/2017,3.27
1/20/2017,3.29
1/13/2017,3.27
1/6/2017,3.47
12/30/2016,3.69
12/23/2016,3.51
12/16/2016,3.57
12/9/2016,3.69
12/2/2016,3.21
11/25/2016,2.76
11/18/2016,2.44
11/11/2016,2.22
11/4/2016,2.5
10/28/2016,2.72
10/21/2016,3.14
10/14/2016,3.17
10/7/2016,2.91
9/30/2016,3.01
9/23/2016,3.11
9/16/2016,3.02
9/9/2016,2.87
9/2/2016,2.94
8/26/2016,2.82
8/19/2016,2.73
8/12/2016,2.77
8/5/2016,2.88
7/29/2016,2.85
7/22/2016,2.79
7/15/2016,2.81
7/8/2016,2.82
7/1/2016,2.89
6/24/2016,2.75
6/17/2016,2.59
6/10/2016,2.36
6/3/2016,2.15
5/27/2016,1.84
5/20/2016,1.89
5/13/2016,2
5/6/2016,1.96
4/29/2016,1.92
4/22/2016,1.91
4/15/2016,1.9
4/8/2016,1.96
4/1/2016,1.86
3/25/2016,1.79
3/18/2016,1.79
3/11/2016,1.64
3/4/2016,1.57
2/26/2016,1.82
2/19/2016,1.94
2/12/2016,2.16
2/5/2016,2.11
1/29/2016,2.22
1/22/2016,2.2
1/15/2016,2.32
1/8/2016,2.38
1/1/2016,2.27
12/25/2015,1.68
12/18/2015,1.72
12/11/2015,1.96
12/4/2015,2.13
11/27/2015,2.15
11/20/2015,2.09
11/13/2015,2.11
11/6/2015,2.02
10/30/2015,2.12
10/23/2015,2.38
10/16/2015,2.48
10/9/2015,2.38
10/2/2015,2.49
9/25/2015,2.61
9/18/2015,2.7
9/11/2015,2.7
9/4/2015,2.69
8/28/2015,2.69
8/21/2015,2.75
8/14/2015,2.88
8/7/2015,2.8
7/31/2015,2.87
7/24/2015,2.88
7/17/2015,2.89
7/10/2015,2.75
7/3/2015,2.79
6/26/2015,2.8
6/19/2015,2.9
6/12/2015,2.78
6/5/2015,2.65
5/29/2015,2.8
5/22/2015,2.99
5/15/2015,2.88
5/8/2015,2.75
5/1/2015,2.57
4/24/2015,2.6
4/17/2015,2.61
4/10/2015,2.67
4/3/2015,2.64
3/27/2015,2.79
3/20/2015,2.8
3/13/2015,2.76
3/6/2015,3.04
2/27/2015,3.13
2/20/2015,2.9
2/13/2015,2.75
2/6/2015,2.72
1/30/2015,2.91
1/23/2015,2.95
1/16/2015,3.08
1/9/2015,3.03
1/2/2015,3.09
12/26/2014,2.94
12/19/2014,3.69
12/12/2014,3.66
12/5/2014,3.75
11/28/2014,4.16
11/21/2014,4.34
11/14/2014,4.16
11/7/2014,3.83
10/31/2014,3.65
10/24/2014,3.63
10/17/2014,3.82
10/10/2014,3.87
10/3/2014,4.02
9/26/2014,3.88
9/19/2014,3.95
9/12/2014,3.91
9/5/2014,3.93
8/29/2014,4.01
8/22/2014,3.85
8/15/2014,3.9
8/8/2014,3.92
8/1/2014,3.79
7/25/2014,3.84
7/18/2014,4.11
7/11/2014,4.19
7/4/2014,4.41
6/27/2014,4.52
6/20/2014,4.66
6/13/2014,4.61
6/6/2014,4.61
5/30/2014,4.52
5/23/2014,4.52
5/16/2014,4.46
5/9/2014,4.74
5/2/2014,4.76
4/25/2014,4.8
4/18/2014,4.65
4/11/2014,4.63
4/4/2014,4.45
3/28/2014,4.46
3/21/2014,4.43
3/14/2014,4.58
3/7/2014,6.24
2/28/2014,5.1
2/21/2014,6
2/14/2014,6.55
2/7/2014,6.35
1/31/2014,5.29
1/24/2014,5.08
1/17/2014,4.39
1/10/2014,4.31
1/3/2014,4.36
12/27/2013,4.45
12/20/2013,4.25
12/13/2013,4.31
12/6/2013,3.94
11/29/2013,3.87
11/22/2013,3.68
11/15/2013,3.62
11/8/2013,3.47
11/1/2013,3.55
10/25/2013,3.69
10/18/2013,3.79
10/11/2013,3.7
10/4/2013,3.56
9/27/2013,3.55
9/20/2013,3.71
9/13/2013,3.61
9/6/2013,3.64
8/30/2013,3.55
8/23/2013,3.49
8/16/2013,3.35
8/9/2013,3.32
8/2/2013,3.45
7/26/2013,3.67
7/19/2013,3.69
7/12/2013,3.66
7/5/2013,3.54
6/28/2013,3.72
6/21/2013,3.87
6/14/2013,3.77
6/7/2013,3.94
5/31/2013,4.12
5/24/2013,4.14
5/17/2013,3.95
5/10/2013,3.89
5/3/2013,4.23
4/26/2013,4.24
4/19/2013,4.25
4/12/2013,4.13
4/5/2013,3.99
3/29/2013,4.05
3/22/2013,3.99
3/15/2013,3.74
3/8/2013,3.57
3/1/2013,3.48
2/22/2013,3.28
2/15/2013,3.26
2/8/2013,3.33
2/1/2013,3.26
1/25/2013,3.54
1/18/2013,3.44
1/11/2013,3.18
1/4/2013,3.28
12/28/2012,3.34
12/21/2012,3.3
12/14/2012,3.3
12/7/2012,3.41
11/30/2012,3.66
11/23/2012,3.61
11/16/2012,3.54
11/9/2012,3.4
11/2/2012,3.44
10/26/2012,3.41
10/19/2012,3.31
10/12/2012,3.26
10/5/2012,3.22
9/28/2012,2.93
9/21/2012,2.76
9/14/2012,2.88
9/7/2012,2.82
8/31/2012,2.72
8/24/2012,2.79
8/17/2012,2.77
8/10/2012,2.92
8/3/2012,3.12
7/27/2012,3.13
7/20/2012,2.92
7/13/2012,2.82
7/6/2012,2.84
6/29/2012,2.76
6/22/2012,2.52
6/15/2012,2.24
6/8/2012,2.33
6/1/2012,2.37
5/25/2012,2.59
5/18/2012,2.49
5/11/2012,2.33
5/4/2012,2.26
4/27/2012,2
4/20/2012,1.86
4/13/2012,1.93
4/6/2012,1.97
3/30/2012,2.06
3/23/2012,2.16
3/16/2012,2.11
3/9/2012,2.26
3/2/2012,2.45
2/24/2012,2.63
2/17/2012,2.52
2/10/2012,2.51
2/3/2012,2.45
1/27/2012,2.57
1/20/2012,2.4
1/13/2012,2.81
1/6/2012,2.92
12/30/2011,3.04
12/23/2011,3.04
12/16/2011,3.08
12/9/2011,3.39
12/2/2011,3.37
11/25/2011,2.92
11/18/2011,3.1
11/11/2011,3.42
11/4/2011,3.47
10/28/2011,3.62
10/21/2011,3.62
10/14/2011,3.48
10/7/2011,3.53
9/30/2011,3.81
9/23/2011,3.77
9/16/2011,3.95
9/9/2011,3.96
9/2/2011,4.01
8/26/2011,4.01
8/19/2011,4.01
8/12/2011,4.08
8/5/2011,4.21
7/29/2011,4.4
7/22/2011,4.58
7/15/2011,4.41
7/8/2011,4.3
7/1/2011,4.32
6/24/2011,4.33
6/17/2011,4.56
6/10/2011,4.83
6/3/2011,4.65
5/27/2011,4.35
5/20/2011,4.15
5/13/2011,4.18
5/6/2011,4.5
4/29/2011,4.39
4/22/2011,4.27
4/15/2011,4.12
4/8/2011,4.15
4/1/2011,4.3
3/25/2011,4.12
3/18/2011,3.88
3/11/2011,3.8
3/4/2011,3.82
2/25/2011,3.84
2/18/2011,3.9
2/11/2011,4.17
2/4/2011,4.51
1/28/2011,4.45
1/21/2011,4.57
1/14/2011,4.46
1/7/2011,4.52
12/31/2010,4.16
12/24/2010,4.09
12/17/2010,4.26
12/10/2010,4.46
12/3/2010,4.2
11/26/2010,3.9
11/19/2010,3.73
11/12/2010,3.7
11/5/2010,3.39
10/29/2010,3.31
10/22/2010,3.37
10/15/2010,3.49
10/8/2010,3.52
10/1/2010,3.79
9/24/2010,4.01
9/17/2010,4.01
9/10/2010,3.8
9/3/2010,3.76
8/27/2010,3.96
8/20/2010,4.3
8/13/2010,4.42
8/6/2010,4.8
7/30/2010,4.75
7/23/2010,4.64
7/16/2010,4.48
7/9/2010,4.65
7/2/2010,4.66
6/25/2010,4.93
6/18/2010,5.1
6/11/2010,4.73
6/4/2010,4.44
5/28/2010,4.18
5/21/2010,4.26
5/14/2010,4.19
5/7/2010,3.94
4/30/2010,4.16
4/23/2010,3.99
4/16/2010,4.06
4/9/2010,4
4/2/2010,3.82
3/26/2010,4.01
3/19/2010,4.23
3/12/2010,4.45
3/5/2010,4.74
2/26/2010,4.87
2/19/2010,5.41
2/12/2010,5.55
2/5/2010,5.47
1/29/2010,5.47
1/22/2010,5.56
1/15/2010,5.68
1/8/2010,6.56
1/1/2010,5.88
