Week,Storage
8/7/2020,3332
7/31/2020,3274
7/24/2020,3241
7/17/2020,3215
7/10/2020,3178
7/3/2020,3133
6/26/2020,3077
6/19/2020,3012
6/12/2020,2892
6/5/2020,2807
5/29/2020,2714
5/22/2020,2612
5/15/2020,2503
5/8/2020,2422
5/1/2020,2319
4/24/2020,2210
4/17/2020,2140
4/10/2020,2097
4/3/2020,2024
3/27/2020,1986
3/20/2020,2005
3/13/2020,2034
3/6/2020,2043
2/28/2020,2091
2/21/2020,2200
2/14/2020,2343
2/7/2020,2494
1/31/2020,2609
1/24/2020,2746
1/17/2020,2947
1/10/2020,3039
1/3/2020,3148
12/27/2019,3192
12/20/2019,3250
12/13/2019,3411
12/6/2019,3518
11/29/2019,3591
11/22/2019,3610
11/15/2019,3638
11/8/2019,3732
11/1/2019,3729
10/25/2019,3695
10/18/2019,3606
10/11/2019,3519
10/4/2019,3415
9/27/2019,3317
9/20/2019,3205
9/13/2019,3103
9/6/2019,3019
8/30/2019,2941
8/23/2019,2857
8/16/2019,2797
8/9/2019,2738
8/2/2019,2689
7/26/2019,2634
7/19/2019,2569
7/12/2019,2533
7/5/2019,2471
6/28/2019,2390
6/21/2019,2301
6/14/2019,2203
6/7/2019,2088
5/31/2019,1986
5/24/2019,1867
5/17/2019,1753
5/10/2019,1653
5/3/2019,1547
4/26/2019,1462
4/19/2019,1339
4/12/2019,1247
4/5/2019,1155
3/29/2019,1130
3/22/2019,1107
3/15/2019,1143
3/8/2019,1190
3/1/2019,1390
2/22/2019,1539
2/15/2019,1705
2/8/2019,1882
2/1/2019,1960
1/25/2019,2197
1/18/2019,2370
1/11/2019,2533
1/4/2019,2614
12/28/2018,2705
12/21/2018,2725
12/14/2018,2773
12/7/2018,2914
11/30/2018,2991
11/23/2018,3054
11/16/2018,3113
11/9/2018,3247
11/2/2018,3208
10/26/2018,3143
10/19/2018,3095
10/12/2018,3037
10/5/2018,2956
9/28/2018,2866
9/21/2018,2768
9/14/2018,2722
9/7/2018,2636
8/31/2018,2567
8/24/2018,2504
8/17/2018,2435
8/10/2018,2386
8/3/2018,2353
7/27/2018,2305
7/20/2018,2272
7/13/2018,2248
7/6/2018,2203
6/29/2018,2152
6/22/2018,2074
6/15/2018,2008
6/8/2018,1913
6/1/2018,1817
5/25/2018,1725
5/18/2018,1629
5/11/2018,1538
5/4/2018,1432
4/27/2018,1343
4/20/2018,1281
4/13/2018,1299
4/6/2018,1335
3/30/2018,1354
3/23/2018,1383
3/16/2018,1446
3/9/2018,1532
3/2/2018,1625
2/23/2018,1682
2/16/2018,1760
2/9/2018,1884
2/2/2018,2078
1/26/2018,2197
1/19/2018,2296
1/12/2018,2584
1/5/2018,2767
12/29/2017,3126
12/22/2017,3332
12/15/2017,3444
12/8/2017,3626
12/1/2017,3695
11/24/2017,3693
11/17/2017,3726
11/10/2017,3772
11/3/2017,3790
10/27/2017,3775
10/20/2017,3710
10/13/2017,3645
10/6/2017,3595
9/29/2017,3508
9/22/2017,3466
9/15/2017,3408
9/8/2017,3311
9/1/2017,3220
8/25/2017,3155
8/18/2017,3125
8/11/2017,3082
8/4/2017,3029
7/28/2017,2999
7/21/2017,2980
7/14/2017,2963
7/7/2017,2936
6/30/2017,2878
6/23/2017,2816
6/16/2017,2770
6/9/2017,2709
6/2/2017,2631
5/26/2017,2525
5/19/2017,2444
5/12/2017,2369
5/5/2017,2301
4/28/2017,2256
4/21/2017,2189
4/14/2017,2115
4/7/2017,2061
3/31/2017,2051
3/24/2017,2049
3/17/2017,2092
3/10/2017,2242
3/3/2017,2295
2/24/2017,2363
2/17/2017,2356
2/10/2017,2445
2/3/2017,2559
1/27/2017,2711
1/20/2017,2798
1/13/2017,2917
1/6/2017,3160
12/30/2016,3311
12/23/2016,3360
12/16/2016,3597
12/9/2016,3806
12/2/2016,3953
11/25/2016,3995
11/18/2016,4045
11/11/2016,4047
11/4/2016,4017
10/28/2016,3963
10/21/2016,3909
10/14/2016,3836
10/7/2016,3759
9/30/2016,3680
9/23/2016,3600
9/16/2016,3551
9/9/2016,3499
9/2/2016,3437
8/26/2016,3401
8/19/2016,3350
8/12/2016,3339
8/5/2016,3317
7/29/2016,3288
7/22/2016,3294
7/15/2016,3277
7/8/2016,3243
7/1/2016,3179
6/24/2016,3140
6/17/2016,3103
6/10/2016,3041
6/3/2016,2972
5/27/2016,2907
5/20/2016,2825
5/13/2016,2754
5/6/2016,2681
4/29/2016,2625
4/22/2016,2557
4/15/2016,2484
4/8/2016,2477
4/1/2016,2480
3/25/2016,2468
3/18/2016,2493
3/11/2016,2478
3/4/2016,2479
2/26/2016,2536
2/19/2016,2584
2/12/2016,2701
2/5/2016,2864
1/29/2016,2934
1/22/2016,3086
1/15/2016,3297
1/8/2016,3475
1/1/2016,3643
12/25/2015,3756
12/18/2015,3814
12/11/2015,3846
12/4/2015,3880
11/27/2015,3956
11/20/2015,4009
11/13/2015,4000
11/6/2015,3985
10/30/2015,3931
10/23/2015,3875
10/16/2015,3813
10/9/2015,3731
10/2/2015,3634
9/25/2015,3537
9/18/2015,3441
9/11/2015,3336
9/4/2015,3262
8/28/2015,3190
8/21/2015,3094
8/14/2015,3027
8/7/2015,2975
7/31/2015,2910
7/24/2015,2872
7/17/2015,2823
7/10/2015,2764
7/3/2015,2666
6/26/2015,2579
6/19/2015,2506
6/12/2015,2433
6/5/2015,2344
5/29/2015,2233
5/22/2015,2101
5/15/2015,1989
5/8/2015,1897
5/1/2015,1785
4/24/2015,1711
4/17/2015,1628
4/10/2015,1539
4/3/2015,1476
3/27/2015,1461
3/20/2015,1479
3/13/2015,1468
3/6/2015,1511
2/27/2015,1709
2/20/2015,1938
2/13/2015,2158
2/6/2015,2268
1/30/2015,2428
1/23/2015,2543
1/16/2015,2637
1/9/2015,2854
1/2/2015,3089
12/26/2014,3220
12/19/2014,3246
12/12/2014,3296
12/5/2014,3359
11/28/2014,3410
11/21/2014,3432
11/14/2014,3594
11/7/2014,3611
10/31/2014,3571
10/24/2014,3480
10/17/2014,3393
10/10/2014,3298
10/3/2014,3205
9/26/2014,3099
9/19/2014,2988
9/12/2014,2890
9/5/2014,2801
8/29/2014,2709
8/22/2014,2631
8/15/2014,2555
8/8/2014,2467
8/1/2014,2388
7/25/2014,2307
7/18/2014,2219
7/11/2014,2128
7/4/2014,2023
6/27/2014,1928
6/20/2014,1829
6/13/2014,1719
6/6/2014,1607
5/30/2014,1499
5/23/2014,1380
5/16/2014,1267
5/9/2014,1160
5/2/2014,1055
4/25/2014,981
4/18/2014,899
4/11/2014,850
4/4/2014,827
3/28/2014,824
3/21/2014,895
3/14/2014,953
3/7/2014,1002
2/28/2014,1196
2/21/2014,1348
2/14/2014,1444
2/7/2014,1693
1/31/2014,1924
1/24/2014,2184
1/17/2014,2424
1/10/2014,2529
1/3/2014,2817
12/27/2013,2975
12/20/2013,3071
12/13/2013,3248
12/6/2013,3533
11/29/2013,3613
11/22/2013,3775
11/15/2013,3789
11/8/2013,3834
11/1/2013,3816
10/25/2013,3779
10/18/2013,3741
10/11/2013,3655
10/4/2013,3577
9/27/2013,3487
9/20/2013,3385
9/13/2013,3299
9/6/2013,3253
8/30/2013,3189
8/23/2013,3131
8/16/2013,3063
8/9/2013,3007
8/2/2013,2940
7/26/2013,2845
7/19/2013,2786
7/12/2013,2745
7/5/2013,2687
6/28/2013,2606
6/21/2013,2533
6/14/2013,2439
6/7/2013,2347
5/31/2013,2252
5/24/2013,2142
5/17/2013,2052
5/10/2013,1964
5/3/2013,1866
4/26/2013,1776
4/19/2013,1734
4/12/2013,1705
4/5/2013,1674
3/29/2013,1687
3/22/2013,1781
3/15/2013,1876
3/8/2013,1938
3/1/2013,2082
2/22/2013,2229
2/15/2013,2400
2/8/2013,2526
2/1/2013,2684
1/25/2013,2802
1/18/2013,2996
1/11/2013,3167
1/4/2013,3316
12/28/2012,3517
12/21/2012,3653
12/14/2012,3724
12/7/2012,3806
11/30/2012,3804
11/23/2012,3876
11/16/2012,3873
11/9/2012,3910
11/2/2012,3928
10/26/2012,3907
10/19/2012,3843
10/12/2012,3776
10/5/2012,3726
9/28/2012,3654
9/21/2012,3576
9/14/2012,3496
9/7/2012,3429
8/31/2012,3402
8/24/2012,3374
8/17/2012,3308
8/10/2012,3261
8/3/2012,3240
7/27/2012,3217
7/20/2012,3190
7/13/2012,3163
7/6/2012,3135
6/29/2012,3102
6/22/2012,3063
6/15/2012,3006
6/8/2012,2944
6/1/2012,2877
5/25/2012,2815
5/18/2012,2744
5/11/2012,2667
5/4/2012,2606
4/27/2012,2576
4/20/2012,2546
4/13/2012,2503
4/6/2012,2478
3/30/2012,2472
3/23/2012,2429
3/16/2012,2380
3/9/2012,2369
3/2/2012,2433
2/24/2012,2513
2/17/2012,2595
2/10/2012,2761
2/3/2012,2888
1/27/2012,2966
1/20/2012,3098
1/13/2012,3290
1/6/2012,3377
12/30/2011,3471
12/23/2011,3548
12/16/2011,3628
12/9/2011,3729
12/2/2011,3830
11/25/2011,3850
11/18/2011,3853
11/11/2011,3844
11/4/2011,3830
10/28/2011,3793
10/21/2011,3717
10/14/2011,3624
10/7/2011,3521
9/30/2011,3408
9/23/2011,3311
9/16/2011,3201
9/9/2011,3110
9/2/2011,3025
8/26/2011,2960
8/19/2011,2906
8/12/2011,2833
8/5/2011,2783
7/29/2011,2759
7/22/2011,2714
7/15/2011,2671
7/8/2011,2611
7/1/2011,2526
6/24/2011,2432
6/17/2011,2354
6/10/2011,2257
6/3/2011,2188
5/27/2011,2107
5/20/2011,2023
5/13/2011,1919
5/6/2011,1827
4/29/2011,1757
4/22/2011,1685
4/15/2011,1654
4/8/2011,1606
4/1/2011,1578
3/25/2011,1622
3/18/2011,1611
3/11/2011,1616
3/4/2011,1672
2/25/2011,1745
2/18/2011,1831
2/11/2011,1910
2/4/2011,2144
1/28/2011,2355
1/21/2011,2543
1/14/2011,2716
1/7/2011,2960
12/31/2010,3097
12/24/2010,3232
12/17/2010,3369
12/10/2010,3553
12/3/2010,3717
11/26/2010,3805
11/19/2010,3828
11/12/2010,3834
11/5/2010,3840
10/29/2010,3821
10/22/2010,3754
10/15/2010,3683
10/8/2010,3590
10/1/2010,3499
9/24/2010,3415
9/17/2010,3341
9/10/2010,3267
9/3/2010,3163
8/27/2010,3105
8/20/2010,3054
8/13/2010,3013
8/6/2010,2984
7/30/2010,2947
7/23/2010,2919
7/16/2010,2893
7/9/2010,2841
7/2/2010,2761
6/25/2010,2684
6/18/2010,2625
6/11/2010,2542
6/4/2010,2456
5/28/2010,2357
5/21/2010,2268
5/14/2010,2165
5/7/2010,2091
4/30/2010,1994
4/23/2010,1912
4/16/2010,1828
4/9/2010,1754
4/2/2010,1670
3/26/2010,1638
3/19/2010,1626
3/12/2010,1614
3/5/2010,1627
2/26/2010,1738
2/19/2010,1853
2/12/2010,2026
2/5/2010,2214
1/29/2010,2406
1/22/2010,2521
1/15/2010,2607
1/8/2010,2850
1/1/2010,3117
