Date,Ardmore Woodford,Arkoma Woodford,Barnett,Cana Woodford,DJ-Niobrara,Eagle Ford,Fayetteville,Granite Wash,Haynesville,Marcellus,Mississippian,Permian,Utica,Williston,Others
2/4/2011,3,19,82,52,33,134,33,92,160,126,20,378,8,157,441
2/11/2011,4,19,81,49,32,136,32,91,161,125,23,375,8,158,426
2/18/2011,4,19,82,49,32,136,32,91,161,127,23,366,8,158,424
2/25/2011,4,19,79,49,32,136,32,91,161,127,23,358,8,158,421
3/4/2011,8,17,77,56,36,140,31,88,159,117,19,361,9,162,427
3/11/2011,6,19,77,60,36,134,31,89,157,118,19,375,9,162,423
3/18/2011,5,19,78,54,36,140,29,89,156,118,22,385,9,162,418
3/25/2011,5,19,78,52,40,146,31,88,158,118,11,389,9,165,428
4/1/2011,4,19,83,54,40,146,32,94,156,118,24,390,9,169,437
4/8/2011,6,17,81,50,40,158,32,92,159,120,22,394,9,169,432
4/15/2011,9,17,83,49,40,151,32,96,154,114,26,393,9,169,429
4/22/2011,9,17,84,50,41,162,31,92,154,116,27,399,9,170,438
4/29/2011,10,17,81,49,41,157,31,92,153,121,29,406,9,171,450
5/6/2011,10,17,81,50,41,159,31,93,156,123,30,415,10,170,449
5/13/2011,8,18,81,53,41,158,29,93,153,122,28,420,10,171,444
5/20/2011,8,18,80,52,40,160,30,90,150,125,29,424,10,172,441
5/27/2011,8,17,78,52,40,171,32,89,146,125,30,435,10,171,442
6/3/2011,8,17,79,52,40,170,32,85,145,125,32,439,10,170,449
6/10/2011,9,18,79,48,45,175,31,91,143,128,31,429,10,170,447
6/17/2011,9,16,75,49,42,179,31,90,142,127,32,425,13,174,456
6/24/2011,9,16,72,49,45,175,31,93,138,130,34,436,13,174,467
7/1/2011,9,16,74,49,45,174,31,88,134,133,33,445,13,168,474
7/8/2011,9,16,71,48,45,176,30,92,137,132,33,442,13,165,478
7/15/2011,10,17,71,48,43,182,31,96,134,132,33,445,13,166,484
7/22/2011,10,16,73,53,42,194,31,96,134,134,34,436,13,171,479
7/29/2011,9,17,72,52,38,188,29,96,133,131,34,444,13,168,484
8/5/2011,10,17,71,53,37,192,28,93,135,131,35,447,13,171,487
8/12/2011,10,17,75,55,40,204,28,93,133,134,35,446,12,185,492
8/19/2011,10,17,71,59,41,212,28,95,134,129,37,451,12,185,493
8/26/2011,9,17,70,58,42,213,28,95,127,131,39,459,12,186,489
9/2/2011,10,17,68,62,43,220,28,94,130,131,41,458,12,187,467
9/9/2011,11,17,68,61,43,222,28,96,130,132,42,448,12,189,459
9/16/2011,10,17,68,59,42,218,29,95,131,137,44,458,10,191,476
9/23/2011,11,17,68,57,44,218,30,99,127,132,45,459,14,196,474
9/30/2011,11,17,66,58,44,221,33,90,125,134,43,464,14,197,473
10/7/2011,12,17,66,58,42,222,34,92,128,136,44,465,14,200,482
10/14/2011,10,17,66,61,42,221,35,96,127,139,41,469,15,198,486
10/21/2011,10,17,61,59,45,213,34,96,128,140,37,475,13,197,488
10/28/2011,11,18,62,61,47,217,35,94,127,141,39,477,13,198,481
11/4/2011,10,19,60,60,47,219,33,92,127,137,43,481,14,199,485
11/11/2011,12,19,60,58,45,220,33,96,125,134,43,481,14,196,480
11/18/2011,8,19,60,58,47,216,33,91,123,134,44,482,14,196,476
11/25/2011,11,19,60,54,47,216,32,93,126,136,45,475,14,197,475
12/2/2011,12,19,60,54,43,217,32,87,121,135,45,476,14,200,478
12/9/2011,12,19,63,52,47,218,31,84,110,136,48,476,14,198,479
12/16/2011,10,20,64,52,47,220,32,88,112,137,50,478,15,201,493
12/23/2011,9,20,64,53,44,221,31,85,110,135,52,482,15,193,494
12/30/2011,9,20,64,53,44,224,29,83,113,140,52,479,16,194,487
1/6/2012,9,20,64,56,45,223,31,86,113,139,47,477,16,193,488
1/13/2012,8,19,63,56,45,232,31,84,111,141,42,475,16,197,467
1/20/2012,9,18,63,58,45,232,31,86,106,143,49,473,14,205,476
1/27/2012,9,17,65,57,42,228,32,90,101,141,51,474,14,201,486
2/3/2012,9,17,62,59,43,226,32,89,94,141,51,478,17,200,479
2/10/2012,8,17,58,58,43,226,29,89,89,139,52,483,16,202,480
2/17/2012,7,16,58,57,42,228,27,85,88,137,60,485,15,204,485
2/24/2012,7,15,59,57,42,232,27,86,86,134,55,484,13,206,478
3/2/2012,7,16,58,54,38,242,27,84,82,133,62,492,10,212,472
3/9/2012,7,13,60,50,38,244,27,82,85,128,64,489,11,213,462
3/16/2012,7,13,62,57,41,243,25,86,76,128,68,484,11,215,468
3/23/2012,7,13,59,53,42,245,25,86,76,124,66,484,13,214,461
3/30/2012,10,13,59,49,41,244,24,91,75,126,65,491,13,218,460
4/5/2012,10,14,54,50,40,247,24,93,72,121,65,498,15,216,460
4/13/2012,10,13,49,50,39,245,24,92,65,120,64,494,15,214,456
4/20/2012,10,15,50,50,43,246,24,96,66,120,63,504,15,212,458
4/27/2012,10,14,49,51,42,248,21,91,63,114,62,512,17,214,437
5/4/2012,9,14,48,50,42,248,21,88,63,112,63,515,21,215,456
5/11/2012,9,14,46,49,42,252,21,96,61,113,66,512,20,216,457
5/18/2012,9,13,47,50,44,255,20,96,59,112,64,516,20,218,463
5/25/2012,9,12,44,50,45,259,20,92,58,107,66,514,22,223,462
6/1/2012,9,10,43,48,45,258,20,93,57,103,63,524,26,224,457
6/8/2012,10,10,43,50,47,256,19,88,53,103,66,524,24,223,468
6/15/2012,10,8,42,49,44,247,18,84,53,104,65,530,26,220,471
6/22/2012,10,8,40,50,41,250,16,83,50,102,67,534,25,220,470
6/29/2012,10,8,41,49,44,247,16,82,51,97,75,534,23,212,470
7/6/2012,10,9,40,47,44,249,15,83,46,102,72,529,22,215,482
7/13/2012,10,8,42,49,44,251,15,84,42,100,69,528,24,218,469
7/20/2012,11,8,42,46,43,250,15,86,46,97,68,513,23,219,468
7/27/2012,11,8,43,40,44,248,15,86,43,97,70,512,23,214,470
8/3/2012,11,8,42,38,44,243,14,87,41,95,76,518,23,211,479
8/10/2012,10,8,44,40,44,247,14,84,42,95,77,515,23,213,475
8/17/2012,10,8,44,40,45,241,14,82,41,92,75,513,23,208,478
8/24/2012,11,8,43,39,46,241,14,81,41,90,79,513,21,208,463
8/31/2012,11,8,41,38,46,238,14,77,41,90,82,511,21,208,468
9/7/2012,11,8,41,37,45,238,15,73,40,87,84,502,21,206,456
9/14/2012,11,7,40,35,43,238,15,74,38,86,87,506,21,202,461
9/21/2012,8,7,42,32,41,234,14,74,38,90,89,501,22,205,462
9/28/2012,10,6,40,30,43,233,14,75,36,87,87,505,22,205,455
10/5/2012,10,6,40,30,43,231,14,70,37,90,85,500,25,202,454
10/12/2012,10,6,41,27,45,230,13,68,36,90,84,498,26,200,461
10/19/2012,11,6,37,26,45,224,15,70,38,90,84,501,26,202,464
10/26/2012,11,6,39,28,45,221,15,71,38,88,82,491,28,203,460
11/2/2012,11,6,40,28,42,219,16,73,39,90,81,482,29,194,450
11/9/2012,11,5,39,27,41,223,15,72,37,92,83,491,27,194,449
11/16/2012,11,5,38,27,43,227,15,72,37,90,82,489,29,196,448
11/21/2012,11,4,37,28,41,227,15,72,36,94,82,487,29,196,458
11/30/2012,10,4,41,28,42,233,15,77,37,92,80,481,30,196,445
12/7/2012,10,4,41,28,40,238,15,77,36,92,80,472,30,194,443
12/14/2012,12,4,41,25,41,233,13,71,37,94,83,477,29,195,444
12/21/2012,12,4,41,29,41,232,13,67,38,92,84,463,31,196,431
12/28/2012,12,4,41,29,41,232,13,67,39,93,86,463,33,196,414
1/4/2013,12,4,39,29,39,233,13,66,40,96,85,473,33,194,406
1/11/2013,13,3,37,31,36,229,13,67,42,92,90,467,32,193,416
1/18/2013,12,3,37,31,35,233,13,69,43,95,86,452,31,197,412
1/25/2013,12,3,33,32,39,236,13,67,41,91,90,464,31,193,408
2/1/2013,12,4,35,36,38,239,13,66,39,90,90,466,31,192,413
2/8/2013,12,3,35,32,39,239,13,69,40,91,91,462,30,190,413
2/15/2013,12,3,34,30,39,235,12,72,40,85,92,473,30,190,415
2/22/2013,12,4,34,30,40,233,13,71,41,92,87,476,31,187,410
3/1/2013,12,4,38,32,41,228,14,69,42,94,89,478,29,189,398
3/8/2013,11,2,36,30,41,227,13,71,42,92,85,476,29,189,408
3/15/2013,12,3,37,33,41,229,13,71,41,93,87,478,29,190,419
3/22/2013,10,2,33,33,40,226,13,68,41,89,85,473,29,187,417
3/28/2013,14,2,32,36,42,225,13,66,41,90,84,467,29,187,420
4/5/2013,13,2,36,33,43,226,13,62,40,81,80,467,32,186,424
4/12/2013,10,2,42,34,43,230,13,71,39,82,82,472,34,189,428
4/19/2013,9,2,39,31,44,229,13,70,39,82,78,469,33,187,433
4/26/2013,11,2,33,32,45,230,13,67,39,80,81,471,34,185,431
5/3/2013,11,2,31,35,45,232,13,67,37,81,81,469,35,186,439
5/10/2013,11,2,31,36,45,234,13,69,38,79,82,468,35,187,439
5/17/2013,12,2,31,37,44,232,13,72,36,78,80,469,35,190,438
5/24/2013,11,2,32,36,42,232,13,70,35,80,77,470,33,185,444
5/31/2013,11,2,30,36,44,231,12,72,38,80,76,470,33,187,449
6/7/2013,11,2,33,34,44,233,12,70,39,77,74,473,34,190,439
6/14/2013,13,2,33,34,46,227,12,73,39,75,73,473,33,190,448
6/21/2013,13,2,36,35,46,227,12,72,39,75,69,468,31,190,444
6/28/2013,13,2,31,35,46,227,12,75,39,77,70,466,34,186,435
7/3/2013,14,2,33,35,49,230,12,70,40,76,72,465,35,188,436
7/12/2013,14,2,33,34,49,231,12,68,40,75,71,463,37,185,445
7/19/2013,14,2,29,30,50,233,11,71,40,78,75,468,36,184,449
7/26/2013,14,2,30,28,52,237,11,76,41,78,74,462,36,181,454
8/2/2013,13,1,33,27,51,239,11,75,42,87,70,463,37,181,452
8/9/2013,14,2,32,26,51,236,11,71,42,87,74,470,37,182,443
8/16/2013,14,2,30,27,52,229,11,74,44,86,74,474,38,182,454
8/23/2013,14,2,30,28,49,234,11,72,44,87,70,466,35,182,452
8/30/2013,13,4,29,26,49,231,11,70,44,85,71,465,35,182,461
9/6/2013,14,4,32,26,49,231,11,70,43,86,71,456,35,182,457
9/13/2013,14,4,31,25,47,234,11,68,39,89,70,460,35,181,460
9/20/2013,14,3,35,26,49,232,10,64,36,86,76,452,36,184,458
9/27/2013,14,3,32,28,48,229,9,63,38,85,78,454,36,183,444
10/4/2013,14,4,33,29,48,227,9,65,40,86,79,453,36,183,450
10/11/2013,14,5,33,30,48,221,9,63,40,85,80,451,38,181,445
10/18/2013,14,5,33,32,51,221,8,61,40,86,79,448,35,182,444
10/25/2013,14,5,33,29,51,222,9,57,41,86,78,444,36,182,451
11/1/2013,12,5,34,31,50,226,9,60,42,85,76,451,36,175,450
11/8/2013,13,5,36,32,51,226,9,60,40,85,75,469,36,175,442
11/15/2013,13,5,36,32,50,223,9,61,39,87,76,470,36,177,448
11/22/2013,13,4,33,33,50,226,9,61,38,90,75,470,35,179,445
11/27/2013,13,6,34,33,49,227,9,62,38,87,77,470,37,180,441
12/6/2013,13,6,35,33,48,226,9,62,40,86,78,473,37,179,450
12/13/2013,13,5,35,32,52,229,9,57,40,85,77,477,38,187,446
12/20/2013,13,5,33,35,49,229,9,54,42,88,76,476,38,183,438
12/27/2013,10,5,33,36,49,228,9,53,41,85,79,469,38,183,439
1/3/2014,10,5,34,36,50,228,9,52,43,85,75,468,38,185,433
1/10/2014,11,6,32,36,51,227,9,55,45,86,73,471,38,179,435
1/17/2014,8,7,28,39,55,225,9,56,43,87,73,478,39,178,452
1/24/2014,8,7,28,41,55,216,9,54,43,86,73,484,38,179,456
1/31/2014,8,5,30,40,55,214,9,57,43,86,75,481,40,179,463
2/7/2014,8,5,31,37,55,216,9,54,43,81,78,483,41,177,453
2/14/2014,7,5,30,34,53,216,9,55,42,80,78,486,43,176,450
2/21/2014,7,6,30,37,54,221,9,54,41,82,74,487,41,174,454
2/28/2014,9,5,30,36,55,221,9,51,42,78,71,493,41,176,452
3/7/2014,9,5,29,35,54,222,9,50,44,77,73,506,42,177,460
3/14/2014,9,6,26,35,54,224,9,52,44,78,70,514,42,184,462
3/21/2014,9,6,25,32,54,219,9,54,45,78,73,513,40,186,460
3/28/2014,10,6,24,30,55,223,9,55,44,76,73,518,39,185,462
4/4/2014,10,7,25,31,54,224,9,58,45,79,74,524,39,185,454
4/11/2014,9,7,24,31,54,220,9,61,42,79,71,536,35,185,468
4/17/2014,8,7,23,22,54,217,10,62,45,81,74,540,37,185,466
4/25/2014,7,7,24,23,55,219,10,64,47,87,74,542,36,187,479
5/2/2014,7,7,25,24,55,218,9,61,47,85,74,543,36,183,480
5/9/2014,6,6,24,23,53,218,10,64,45,84,76,545,36,182,483
5/16/2014,6,6,25,23,53,219,10,62,45,83,77,546,41,183,482
5/23/2014,5,6,27,24,54,213,9,63,44,83,75,547,41,183,483
5/30/2014,6,6,26,25,54,213,9,66,42,83,77,550,40,178,491
6/6/2014,6,5,28,23,53,214,9,67,43,80,77,548,41,178,488
6/13/2014,6,5,25,26,58,213,9,70,44,83,79,556,40,174,466
6/20/2014,6,5,26,26,60,215,9,70,44,80,79,553,42,175,468
6/27/2014,5,6,25,26,60,214,9,72,41,82,77,554,43,178,481
7/3/2014,5,5,26,26,60,213,9,70,43,79,80,560,43,178,477
7/11/2014,7,7,24,27,60,218,9,75,42,80,80,563,44,179,460
7/18/2014,7,7,23,30,60,212,9,75,43,79,79,556,46,184,461
7/25/2014,6,7,24,31,60,211,9,76,43,78,81,555,45,184,473
8/1/2014,6,7,26,32,57,204,9,76,42,79,79,562,45,186,479
8/8/2014,6,7,26,32,57,201,9,73,44,74,80,560,45,191,503
8/15/2014,6,7,25,34,62,199,9,69,45,77,79,558,44,194,505
8/22/2014,6,8,26,33,62,200,9,67,45,76,78,555,44,192,495
8/29/2014,7,8,26,34,63,203,8,65,46,80,81,557,43,192,501
9/5/2014,6,7,26,37,62,202,9,68,46,82,78,563,43,192,504
9/12/2014,5,7,25,36,62,203,9,67,45,83,77,566,44,194,508
9/19/2014,5,8,25,38,63,205,9,66,46,81,78,560,44,198,505
9/26/2014,5,7,22,38,63,207,9,66,46,80,77,556,44,198,513
10/3/2014,4,7,21,42,64,210,9,64,44,82,78,556,43,198,500
10/10/2014,4,7,20,37,63,211,8,64,43,81,79,562,46,194,511
10/17/2014,5,6,21,38,63,209,9,62,43,81,73,561,47,193,507
10/24/2014,5,6,22,37,62,216,9,62,40,81,73,568,49,192,505
10/31/2014,6,5,23,38,62,218,9,59,41,84,78,562,46,192,506
11/7/2014,5,6,23,39,62,212,9,57,41,82,76,567,45,193,508
11/14/2014,6,6,23,34,63,208,9,58,42,80,77,568,50,193,511
11/21/2014,7,6,25,41,58,209,9,59,39,83,75,565,49,188,516
11/26/2014,7,5,25,45,62,209,7,59,39,82,74,566,48,191,498
12/5/2014,7,5,24,43,61,206,9,63,40,82,74,568,48,189,501
12/12/2014,6,5,23,43,60,204,6,57,43,83,74,548,50,188,503
12/19/2014,6,5,26,45,59,206,9,55,42,82,73,539,48,181,499
12/26/2014,6,5,24,48,60,204,9,52,40,78,72,536,50,179,477
1/2/2015,6,5,24,45,58,200,8,52,40,77,72,530,49,179,466
1/9/2015,6,6,24,45,56,197,10,50,43,77,69,502,48,171,446
1/16/2015,8,5,25,41,54,185,8,43,43,75,68,487,49,165,420
1/23/2015,6,5,25,44,53,181,9,41,42,76,63,481,46,153,408
1/30/2015,6,7,19,40,51,178,9,40,43,75,54,454,43,148,376
2/6/2015,6,7,19,43,48,168,9,39,43,71,53,417,41,137,355
2/13/2015,6,6,13,43,42,164,9,38,41,69,54,368,39,128,338
2/20/2015,6,5,11,43,39,160,9,36,41,69,48,362,39,123,319
2/27/2015,6,5,9,39,39,157,9,34,40,68,47,355,38,111,310
3/6/2015,6,5,9,37,34,149,9,32,38,62,44,333,37,108,289
3/13/2015,5,5,7,40,32,146,9,26,34,63,42,311,33,104,268
3/20/2015,5,6,6,40,33,138,7,24,34,69,44,292,30,99,242
3/27/2015,4,6,6,40,30,137,7,24,32,70,43,290,30,97,232
4/2/2015,8,6,6,40,30,137,6,23,29,70,40,285,29,91,228
4/10/2015,9,5,6,38,28,125,7,22,27,70,40,264,28,89,230
4/17/2015,6,6,6,40,28,123,7,17,27,69,31,258,26,84,226
4/24/2015,6,6,6,41,29,115,8,18,29,69,29,246,26,79,225
5/1/2015,6,6,4,38,29,110,7,17,27,67,25,238,26,80,225
5/8/2015,6,6,5,35,30,105,6,16,27,66,23,237,25,80,227
5/15/2015,6,6,5,35,30,108,6,16,27,66,22,233,25,79,224
5/22/2015,6,6,5,34,30,107,8,15,27,66,22,233,24,78,224
5/29/2015,6,6,5,34,30,110,6,16,26,63,22,232,25,77,217
6/5/2015,7,5,6,33,30,103,5,17,26,64,23,233,24,76,216
6/12/2015,7,5,6,33,30,104,5,17,26,63,23,232,23,76,209
6/19/2015,8,6,6,32,29,104,5,16,26,64,22,233,22,77,207
6/26/2015,8,6,5,33,29,103,5,14,27,65,20,231,19,74,220
